"play_game_id","timestamp","X.x","game_str.x","play_id.x","player_position","field_x","field_y","X.y","game_str.y","play_id.y","ball_position_x","ball_position_y","ball_position_z","coverer_id","total_pos_dif","y_pos_dif","displacement","displacement_per_second"
"1900_01_TeamKJ_TeamB 24",728278,15768,"1900_01_TeamKJ_TeamB",24,6,-14.8848,130.5951,821,"1900_01_TeamKJ_TeamB",24,-5.88741,22.57107,0.373104,"1900_01_TeamKJ_TeamB 24 6",108.398081552456,108.02403,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728311,15769,"1900_01_TeamKJ_TeamB",24,6,-14.4633,130.5102,822,"1900_01_TeamKJ_TeamB",24,-6.03429,22.70973,0.399903,"1900_01_TeamKJ_TeamB 24 6",108.129503567717,107.80047,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728344,15770,"1900_01_TeamKJ_TeamB",24,6,-14.0481,130.4238,823,"1900_01_TeamKJ_TeamB",24,-6.17664,22.85565,0.424194,"1900_01_TeamKJ_TeamB 24 6",107.855768399071,107.56815,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728377,15771,"1900_01_TeamKJ_TeamB",24,6,-13.6395,130.3356,824,"1900_01_TeamKJ_TeamB",24,-6.31446,23.00889,0.445977,"1900_01_TeamKJ_TeamB 24 6",107.576386304921,107.32671,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728410,15772,"1900_01_TeamKJ_TeamB",24,6,-13.2384,130.2453,825,"1900_01_TeamKJ_TeamB",24,-6.44778,23.16942,0.465246,"1900_01_TeamKJ_TeamB 24 6",107.290990291631,107.07588,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728443,15773,"1900_01_TeamKJ_TeamB",24,6,-12.8445,130.1526,826,"1900_01_TeamKJ_TeamB",24,-6.57657,23.33724,0.48201,"1900_01_TeamKJ_TeamB 24 6",106.999103166403,106.81536,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728476,15774,"1900_01_TeamKJ_TeamB",24,6,-12.4587,130.0578,827,"1900_01_TeamKJ_TeamB",24,-6.70083,23.51238,0.49626,"1900_01_TeamKJ_TeamB 24 6",106.700888421387,106.54542,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728509,15775,"1900_01_TeamKJ_TeamB",24,6,-12.0813,129.9606,828,"1900_01_TeamKJ_TeamB",24,-6.82059,23.69478,0.508002,"1900_01_TeamKJ_TeamB 24 6",106.395956548999,106.26582,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728542,15776,"1900_01_TeamKJ_TeamB",24,6,-11.7126,129.8607,829,"1900_01_TeamKJ_TeamB",24,-6.93582,23.8845,0.517233,"1900_01_TeamKJ_TeamB 24 6",106.083799864109,105.9762,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728575,15777,"1900_01_TeamKJ_TeamB",24,6,-11.3532,129.759,830,"1900_01_TeamKJ_TeamB",24,-7.04652,24.08151,0.523956,"1900_01_TeamKJ_TeamB 24 6",105.765208766033,105.67749,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728608,15778,"1900_01_TeamKJ_TeamB",24,6,-11.0028,129.6549,831,"1900_01_TeamKJ_TeamB",24,-7.15269,24.28578,0.528168,"1900_01_TeamKJ_TeamB 24 6",105.439436628742,105.36912,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728641,15779,"1900_01_TeamKJ_TeamB",24,6,-10.662,129.5487,832,"1900_01_TeamKJ_TeamB",24,-7.25436,24.4974,0.529872,"1900_01_TeamKJ_TeamB 24 6",105.106553754081,105.0513,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728674,15780,"1900_01_TeamKJ_TeamB",24,6,-10.3311,129.4407,833,"1900_01_TeamKJ_TeamB",24,-7.3515,24.71628,0.529065,"1900_01_TeamKJ_TeamB 24 6",104.766798941728,104.72442,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728707,15781,"1900_01_TeamKJ_TeamB",24,6,-10.0101,129.3309,834,"1900_01_TeamKJ_TeamB",24,-7.44414,24.94245,0.525747,"1900_01_TeamKJ_TeamB 24 6",104.419982015532,104.38845,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728740,15782,"1900_01_TeamKJ_TeamB",24,6,-9.6993,129.2196,835,"1900_01_TeamKJ_TeamB",24,-7.53222,25.17591,0.519921,"1900_01_TeamKJ_TeamB 24 6",104.066256128211,104.04369,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728773,15783,"1900_01_TeamKJ_TeamB",24,6,-9.399,129.1068,836,"1900_01_TeamKJ_TeamB",24,-7.6158,25.41669,0.511584,"1900_01_TeamKJ_TeamB 24 6",103.705442065747,103.69011,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728806,15784,"1900_01_TeamKJ_TeamB",24,6,-9.1095,128.9928,837,"1900_01_TeamKJ_TeamB",24,-7.69488,25.66476,0.500739,"1900_01_TeamKJ_TeamB 24 6",103.337723024973,103.32804,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728839,15785,"1900_01_TeamKJ_TeamB",24,6,-8.8305,128.8773,838,"1900_01_TeamKJ_TeamB",24,-7.7694,25.92012,0.487383,"1900_01_TeamKJ_TeamB 24 6",102.962647823191,102.95718,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728872,15786,"1900_01_TeamKJ_TeamB",24,6,-8.5626,128.7603,839,"1900_01_TeamKJ_TeamB",24,-7.83942,26.18277,0.471516,"1900_01_TeamKJ_TeamB 24 6",102.580079207482,102.57753,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728905,15787,"1900_01_TeamKJ_TeamB",24,6,-8.3058,128.6421,840,"1900_01_TeamKJ_TeamB",24,-7.90494,26.45271,0.453141,"1900_01_TeamKJ_TeamB 24 6",102.190176227031,102.18939,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728938,15788,"1900_01_TeamKJ_TeamB",24,6,-8.0604,128.5227,841,"1900_01_TeamKJ_TeamB",24,-7.9659,26.72994,0.432255,"1900_01_TeamKJ_TeamB 24 6",101.792803864849,101.79276,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",728971,15789,"1900_01_TeamKJ_TeamB",24,6,-7.8261,128.4015,842,"1900_01_TeamKJ_TeamB",24,-8.02236,27.01449,0.408861,"1900_01_TeamKJ_TeamB 24 6",101.387199955062,101.38701,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",729004,15790,"1900_01_TeamKJ_TeamB",24,6,-7.6029,128.2791,843,"1900_01_TeamKJ_TeamB",24,-8.07429,27.3063,0.382956,"1900_01_TeamKJ_TeamB 24 6",100.973900332572,100.9728,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",729037,15791,"1900_01_TeamKJ_TeamB",24,6,-7.3911,128.1555,844,"1900_01_TeamKJ_TeamB",24,-8.12169,27.60543,0.35454,"1900_01_TeamKJ_TeamB 24 6",100.552724173704,100.55007,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",729070,15792,"1900_01_TeamKJ_TeamB",24,6,-7.1904,128.0304,845,"1900_01_TeamKJ_TeamB",24,-8.16459,27.91185,0.323616,"1900_01_TeamKJ_TeamB 24 6",100.123289499789,100.11855,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",729103,15793,"1900_01_TeamKJ_TeamB",24,6,-7.0008,127.9041,846,"1900_01_TeamKJ_TeamB",24,-8.20296,28.22556,0.2901816,"1900_01_TeamKJ_TeamB 24 6",99.6857889831705,99.67854,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",729136,15794,"1900_01_TeamKJ_TeamB",24,6,-6.822,127.7769,847,"1900_01_TeamKJ_TeamB",24,-8.23683,28.54656,0.2542374,"1900_01_TeamKJ_TeamB 24 6",99.2404258376822,99.23034,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",729169,15795,"1900_01_TeamKJ_TeamB",24,6,-6.6537,127.6485,848,"1900_01_TeamKJ_TeamB",24,-8.26614,28.87488,0.2157837,"1900_01_TeamKJ_TeamB 24 6",98.7867803436168,98.77362,32.5689814143765,7.53388420411207
"1900_01_TeamKJ_TeamB 24",729202,15796,"1900_01_TeamKJ_TeamB",24,6,-6.4959,127.5195,849,"1900_01_TeamKJ_TeamB",24,-8.29095,29.21046,0.1748199,"1900_01_TeamKJ_TeamB 24 6",98.3254267736688,98.30904,32.5689814143765,7.53388420411207
"1900_05_TeamKK_TeamB 218",8287411,159545,"1900_05_TeamKK_TeamB",218,6,-14.9841,142.203,8338,"1900_05_TeamKK_TeamB",218,0.375276,85.7664,8.89554,"1900_05_TeamKK_TeamB 218 6",58.4893174064237,56.4366,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287444,159546,"1900_05_TeamKK_TeamB",218,6,-14.6394,142.4778,8339,"1900_05_TeamKK_TeamB",218,0.384096,88.6986,8.62563,"1900_05_TeamKK_TeamB 218 6",55.8382287031207,53.7792,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287477,159547,"1900_05_TeamKK_TeamB",218,6,-14.3022,142.7523,8340,"1900_05_TeamKK_TeamB",218,0.395577,91.6164,8.3304,"1900_05_TeamKK_TeamB 218 6",53.2062488581156,51.1359,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287510,159548,"1900_05_TeamKK_TeamB",218,6,-13.9734,143.0265,8341,"1900_05_TeamKK_TeamB",218,0.409722,94.5201,8.00979,"1900_05_TeamKK_TeamB 218 6",50.5939229495686,48.5064,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287543,159549,"1900_05_TeamKK_TeamB",218,6,-13.6527,143.2998,8342,"1900_05_TeamKK_TeamB",218,0.426525,97.4091,7.66383,"1900_05_TeamKK_TeamB 218 6",48.0018845785311,45.8907,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287576,159550,"1900_05_TeamKK_TeamB",218,6,-13.3407,143.5725,8343,"1900_05_TeamKK_TeamB",218,0.445989,100.284,7.29252,"1900_05_TeamKK_TeamB 218 6",45.4309038632594,43.2885,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287609,159551,"1900_05_TeamKK_TeamB",218,6,-13.0374,143.844,8344,"1900_05_TeamKK_TeamB",218,0.468114,103.1442,6.89586,"1900_05_TeamKK_TeamB 218 6",42.8820781731039,40.6998,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287642,159552,"1900_05_TeamKK_TeamB",218,6,-12.7428,144.1143,8345,"1900_05_TeamKK_TeamB",218,0.492903,105.9903,6.47385,"1900_05_TeamKK_TeamB 218 6",40.3562041067319,38.124,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287675,159553,"1900_05_TeamKK_TeamB",218,6,-12.4575,144.3831,8346,"1900_05_TeamKK_TeamB",218,0.52035,108.822,6.02646,"1900_05_TeamKK_TeamB 218 6",37.855203391773,35.5611,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287708,159554,"1900_05_TeamKK_TeamB",218,6,-12.1812,144.6507,8347,"1900_05_TeamKK_TeamB",218,0.550461,111.6393,5.55375,"1900_05_TeamKK_TeamB 218 6",35.3814601419857,33.0114,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287741,159555,"1900_05_TeamKK_TeamB",218,6,-11.9139,144.9162,8348,"1900_05_TeamKK_TeamB",218,0.58323,114.4425,5.05566,"1900_05_TeamKK_TeamB 218 6",32.936676364304,30.4737,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287774,159556,"1900_05_TeamKK_TeamB",218,6,-11.6559,145.1805,8349,"1900_05_TeamKK_TeamB",218,0.618663,117.231,4.53222,"1900_05_TeamKK_TeamB 218 6",30.5260453889948,27.9495,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287807,159557,"1900_05_TeamKK_TeamB",218,6,-11.4063,145.4433,8350,"1900_05_TeamKK_TeamB",218,0.656757,120.0054,3.98343,"1900_05_TeamKK_TeamB 218 6",28.1532254030555,25.4379,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287840,159558,"1900_05_TeamKK_TeamB",218,6,-11.1654,145.7043,8351,"1900_05_TeamKK_TeamB",218,0.697509,122.7654,3.40929,"1900_05_TeamKK_TeamB 218 6",25.8248280372257,22.9389,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287873,159559,"1900_05_TeamKK_TeamB",218,6,-10.9326,145.9644,8352,"1900_05_TeamKK_TeamB",218,0.740925,125.511,2.809797,"1900_05_TeamKK_TeamB 218 6",23.5502177800042,20.4534,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 218",8287906,159560,"1900_05_TeamKK_TeamB",218,6,-10.707,146.2227,8353,"1900_05_TeamKK_TeamB",218,0.787002,128.2425,2.184942,"1900_05_TeamKK_TeamB 218 6",21.3400954547069,17.9802,23.6266977999466,8.42306516932141
"1900_05_TeamKK_TeamB 24",896213,10778,"1900_05_TeamKK_TeamB",24,6,-14.8878,136.6827,694,"1900_05_TeamKK_TeamB",24,3.74076,19.00044,0.472605,"1900_05_TeamKK_TeamB 24 6",119.147545364482,117.68226,24.4432978176023,6.02051670384293
"1900_05_TeamKK_TeamB 24",896246,10779,"1900_05_TeamKK_TeamB",24,6,-14.6424,136.4991,695,"1900_05_TeamKK_TeamB",24,3.71742,18.9363,0.507951,"1900_05_TeamKK_TeamB 24 6",118.987793215407,117.5628,24.4432978176023,6.02051670384293
"1900_05_TeamKK_TeamB 24",896279,10780,"1900_05_TeamKK_TeamB",24,6,-14.3973,136.3149,696,"1900_05_TeamKK_TeamB",24,3.6987,18.89811,0.540045,"1900_05_TeamKK_TeamB 24 6",118.803063049334,117.41679,24.4432978176023,6.02051670384293
"1900_05_TeamKK_TeamB 24",896312,10781,"1900_05_TeamKK_TeamB",24,6,-14.1525,136.1301,697,"1900_05_TeamKK_TeamB",24,3.68463,18.8859,0.568887,"1900_05_TeamKK_TeamB 24 6",118.593278225525,117.2442,24.4432978176023,6.02051670384293
"1900_05_TeamKK_TeamB 24",896345,10782,"1900_05_TeamKK_TeamB",24,6,-13.9083,135.9456,698,"1900_05_TeamKK_TeamB",24,3.67521,18.89961,0.594477,"1900_05_TeamKK_TeamB 24 6",118.35938323175,117.04599,24.4432978176023,6.02051670384293
"1900_05_TeamKK_TeamB 24",896378,10783,"1900_05_TeamKK_TeamB",24,6,-13.6647,135.7608,699,"1900_05_TeamKK_TeamB",24,3.67044,18.9393,0.616815,"1900_05_TeamKK_TeamB 24 6",118.100677140606,116.8215,24.4432978176023,6.02051670384293
